,Time Test,Number of Trees Range,Max Depth of Tree Range,NE_increment,MD_increment,Type of Function,Optimal MAE,Optimal Max Depth,Optimal Number of Trees
0,1,1-2,2-3,1,1,Grid Search Optimization,38797.055639389226,2,2
1,1,1-2,2-3,1,1,Programmed Optimization,37411.0301369863,2,2
2,2,1-3,2-4,1,1,Grid Search Optimization,32201.68761718557,3,3
3,2,1-3,2-4,1,1,Programmed Optimization,30171.314155251144,3,3
4,3,1-4,2-5,1,1,Grid Search Optimization,27037.42333358515,4,4
5,3,1-4,2-5,1,1,Programmed Optimization,26857.2,4,4
6,4,1-5,2-6,1,1,Grid Search Optimization,25051.860210668874,5,5
7,4,1-5,2-6,1,1,Programmed Optimization,25063.483013698627,5,5
8,5,1-6,2-7,1,1,Grid Search Optimization,24465.250804130017,6,5
9,5,1-6,2-7,1,1,Programmed Optimization,23513.12785388128,6,6
10,6,1-7,2-8,1,1,Grid Search Optimization,24637.747952405905,7,6
11,6,1-7,2-8,1,1,Programmed Optimization,23513.12785388128,6,6
12,7,1-8,2-9,1,1,Grid Search Optimization,24454.252691906604,7,7
13,7,1-8,2-9,1,1,Programmed Optimization,23409.13737769081,8,7
14,8,1-9,2-10,1,1,Grid Search Optimization,23888.122259777283,8,8
15,8,1-9,2-10,1,1,Programmed Optimization,23340.917503805176,8,9
16,9,1-10,2-11,1,1,Grid Search Optimization,22880.82924005646,7,9
17,9,1-10,2-11,1,1,Programmed Optimization,22675.34835616438,10,10
18,10,1-11,2-12,1,1,Grid Search Optimization,22990.592538388028,10,10
19,10,1-11,2-12,1,1,Programmed Optimization,22646.85292652553,10,11
20,11,1-12,2-13,1,1,Grid Search Optimization,21466.67725614647,9,12
21,11,1-12,2-13,1,1,Programmed Optimization,22378.008561643834,10,12
22,12,1-13,2-14,1,1,Grid Search Optimization,23085.983647090736,9,11
23,12,1-13,2-14,1,1,Programmed Optimization,22245.38071654373,10,13
24,13,1-14,2-15,1,1,Grid Search Optimization,22419.013411159904,9,12
25,13,1-14,2-15,1,1,Programmed Optimization,22245.38071654373,10,13
26,14,1-15,2-16,1,1,Grid Search Optimization,22386.39588460092,9,15
27,14,1-15,2-16,1,1,Programmed Optimization,22059.57689497717,10,15
28,15,1-16,2-17,1,1,Grid Search Optimization,22830.257599887,9,13
29,15,1-16,2-17,1,1,Programmed Optimization,22059.073202054795,10,16
30,16,1-17,2-18,1,1,Grid Search Optimization,22586.307924222412,11,14
31,16,1-17,2-18,1,1,Programmed Optimization,22032.009830781626,10,17
32,17,1-18,2-19,1,1,Grid Search Optimization,22647.851018196463,10,17
33,17,1-18,2-19,1,1,Programmed Optimization,22032.009830781626,10,17
34,18,1-19,2-20,1,1,Grid Search Optimization,22032.00439834009,10,19
35,18,1-19,2-20,1,1,Programmed Optimization,21877.681398702236,10,19
