,Number of Trees,Max Depth of Each Tree,Programmed Optimization,Grid Search Optimization,Created Data Table Optimization,Preloaded Data Table Optimization
0,2,2,0.04766035079956055,0.08823442459106445,0.03914785385131836,2.9802322387695312e-05
1,3,3,0.1658010482788086,0.2298424243927002,0.16242384910583496,4.38690185546875e-05
2,4,4,0.4327254295349121,0.5048673152923584,0.4236109256744385,4.744529724121094e-05
3,5,5,0.9035584926605223,0.9784600734710692,0.9041516780853271,4.434585571289063e-05
4,6,6,1.6742644309997559,1.6767752170562744,1.6573457717895508,7.867813110351562e-05
5,7,7,2.8057949542999268,2.68025016784668,2.813934326171875,7.009506225585938e-05
6,8,8,4.359663009643556,4.122774124145509,4.36791729927063,6.556510925292969e-05
7,9,9,6.645201683044434,5.826512098312378,6.5221500396728525,7.62939453125e-05
8,10,10,9.163761854171751,8.155505180358888,9.205084323883057,0.00010061264038085938
9,11,11,12.565807104110718,10.998513221740724,12.545329570770265,0.00011396408081054688
10,12,12,16.81501078605652,14.45234489440918,16.72586226463318,0.00011467933654785156
11,13,13,21.810221195220947,18.674744606018066,21.8051540851593,0.00012850761413574221
12,14,14,27.919867038726807,24.341291666030887,27.80911087989807,0.00013995170593261721
13,15,15,35.00485730171204,30.215249061584483,34.83678102493286,0.00015592575073242188
14,16,16,43.0922966003418,36.698219537734985,43.17651128768921,0.0001842975616455078
15,17,17,52.42523193359375,44.48175001144409,52.32118463516235,0.00023865699768066406
16,18,18,63.06700539588928,54.063729763031006,63.304349660873406,0.00023889541625976557
17,19,19,74.95766353607178,63.63344430923462,74.7946033477783,0.00023651123046875
