Number of Trees,Max Depth of Each Tree,Programmed Optimization,Grid Search Optimization,Created Data Table Optimization,Preloaded Data Table Optimization
10,10,0.24816203117370605,0.3081226348876953,0.24719572067260742,5.936622619628906e-05
20,10,1.1611692905426025,1.0434191226959229,1.1736993789672852,3.838539123535156e-05
30,10,2.753371477127075,2.308809280395508,2.7554359436035156,4.029273986816406e-05
40,10,5.019559383392334,3.9982173442840576,5.020487308502197,7.390975952148438e-05
50,10,7.931912183761597,6.010214805603027,7.957906246185303,4.482269287109375e-05
60,10,11.603578329086304,8.762941837310791,11.551416397094727,6.222724914550781e-05
70,10,15.83084511756897,11.738959789276123,15.826389074325562,5.030632019042969e-05
80,10,20.77214241027832,15.111501932144165,20.811466693878174,7.82012939453125e-05
90,10,26.37618374824524,19.169697046279907,26.408563137054443,0.00010704994201660156
100,10,32.69173312187195,23.648573875427246,32.697293519973755,5.91278076171875e-05
